id,stock_id,stock_name,stock_short,stock_open,stock_close,stock_high,stock_low,stock_volume,update_time
418,3,YAHOO,YHOO,34.67,33.99,35.0,33.65,30422000,"2014-03-24 17:29:21.685675"
419,3,YAHOO,YHOO,34.37,35.83,35.89,34.12,28720000,"2014-03-22 17:29:21.685675"
420,3,YAHOO,YHOO,35.89,35.95,36.44,35.25,23315600,"2014-03-20 17:29:21.685675"
421,5,APPLE,AAPL,537.76,541.65,541.87,536.77,7170000,"2014-04-29 17:29:27.491348"
422,5,APPLE,AAPL,542.38,542.55,543.48,540.26,6443600,"2014-04-27 17:29:27.491348"
423,5,APPLE,AAPL,541.39,538.79,542.5,537.64,5798000,"2014-04-25 17:29:27.491348"
424,5,APPLE,AAPL,539.81,531.82,540.0,530.58,9830400,"2014-04-23 17:29:27.491348"
425,5,APPLE,AAPL,528.02,523.47,530.9,521.89,10351800,"2014-04-21 17:29:27.491348"
426,5,APPLE,AAPL,525.19,523.44,526.12,518.7,8710300,"2014-04-19 17:29:27.491348"
427,5,APPLE,AAPL,522.64,530.32,530.49,522.02,7363200,"2014-04-17 17:29:27.491348"
428,5,APPLE,AAPL,530.68,523.48,532.24,523.17,8559000,"2014-04-15 17:29:27.491348"
429,5,APPLE,AAPL,519.0,519.61,522.83,517.14,9704200,"2014-04-13 17:29:27.491348"
430,5,APPLE,AAPL,521.9,521.68,522.16,517.21,7345500,"2014-04-11 17:29:27.491348"
431,5,APPLE,AAPL,520.27,517.96,521.64,511.33,9517500,"2014-04-09 17:29:27.491348"
432,5,APPLE,AAPL,518.05,519.01,521.09,514.14,7670200,"2014-04-07 17:29:27.491348"
433,5,APPLE,AAPL,520.0,524.94,527.76,519.2,10154800,"2014-04-05 17:29:27.491348"
434,5,APPLE,AAPL,525.34,531.17,532.14,523.96,6519600,"2014-04-03 17:29:27.491348"
435,5,APPLE,AAPL,528.31,531.7,531.83,526.5,7234400,"2014-04-01 17:29:27.491348"
436,5,APPLE,AAPL,529.06,524.75,531.13,524.45,13927700,"2014-03-30 17:29:27.491348"
437,5,APPLE,AAPL,568.21,567.77,570.0,560.73,27092600,"2014-03-28 17:29:27.491348"
438,5,APPLE,AAPL,564.53,571.94,571.99,563.96,13922800,"2014-03-26 17:29:27.491348"
439,5,APPLE,AAPL,572.8,594.09,595.75,572.55,23890900,"2014-03-24 17:29:27.491348"
440,5,APPLE,AAPL,593.74,592.33,595.98,589.51,12033400,"2014-03-22 17:29:27.491348"
441,5,APPLE,AAPL,592.64,590.09,599.43,589.8,16308600,"2014-03-20 17:29:27.491348"
442,4,Microsoft,MSFT,41.44,41.35,41.66,41.17,28666700,"2014-04-30 00:49:18.289676"
443,4,Microsoft,MSFT,41.29,41.01,41.29,40.71,30139600,"2014-04-28 00:49:18.289676"
444,4,Microsoft,MSFT,41.25,39.87,41.39,39.64,51409600,"2014-04-26 00:49:18.289676"
445,4,Microsoft,MSFT,39.96,39.8,40.27,39.74,37559600,"2014-04-24 00:49:18.289676"
446,4,Microsoft,MSFT,39.75,39.82,39.93,39.2,35918600,"2014-04-22 00:49:18.289676"
447,4,Microsoft,MSFT,39.93,40.47,40.55,39.88,27398700,"2014-04-20 00:49:18.289676"
448,4,Microsoft,MSFT,40.44,39.36,40.69,39.09,45960800,"2014-04-18 00:49:18.289676"
449,4,Microsoft,MSFT,39.0,39.21,39.79,39.0,34330200,"2014-04-16 00:49:18.289676"
450,4,Microsoft,MSFT,39.11,39.18,39.41,38.9,32006600,"2014-04-14 00:49:18.289676"
